,
DEPARTMENT,TOTAL ASET
PEJABAT TIMBALAN PENGARAH AKADEMIK,6
UNIT CISEC,8
UNIT PERHUBUNGAN & LATIHAN INDUSTRI,18
UNIT PEROLEHAN DAN BEKALAN,23
UNIT PSIKOLOGI & KERJAYA,42
UNIT PENGURUSAN KUALITI,54
UNIT PERAKAUNAN DAN BAYARAN,62
UNIT PENGURUSAN ASET,63
PEJABAT PENGARAH,78
UNIT PENTADBIRAN,171
JABATAN HAL EHWAL PELAJAR,150
UNIT PEPERIKSAAN,166
JABATAN SUKAN & KOKURIKULUM,176
UNIT PEMBANGUNAN INSTRUKSIONAL & MULTIMEDIA,167
PEJABAT TIMBALAN PENGARAH SOKONGAN AKADEMIK,183
UNIT LATIHAN & PENDIDIKAN LANJUTAN,416
UNIT TEKNOLOGI MAKLUMAT & KOMUNIKASI,219
JABATAN PENGAJIAN AM,188
UNIT PEMBANGUNAN & SENGGARAAN,234
"JABATAN MATEMATIK, SAINS & KOMPUTER",347
JABATAN PERDAGANGAN,418
UNIT PERPUSTAKAAN,651
JABATAN KEJURUTERAAN PETROKIMIA,919
JABATAN KEJURUTERAAN MEKANIKAL,1204
JABATAN TEKNOLOGI MAKLUMAT & KOMUNIKASI,841
JABATAN KEJURUTERAAN AWAM,1252
JABATAN KEJURUTERAAN ELEKTRIK,1829
UNIT KAMSIS,7698
